Title,LiveUrl,Total Units,Visitors,Page Views,Module Completed Rate,Module Started,Module Completed,Badges,Shared Badges,Module Hours Viewed,Module Avg Minutes per UV,Duration,Average Star rating,Total Rater,Sandbox Activate(Clicks),Sandbox Activate(Users),Products,Roles,Levels,MSAuthor,GitHubAuthor
Describe concepts of relational data,https://docs.microsoft.com/en-us/learn/modules/describe-concepts-of-relational-data/,6,14395,108223,70.76%,13278,4676,4637,39,3125.1905555555554,26.19972521074938,19,4.860310421286031,451,,,azure,administrator;business-user;data-engineer,beginner,rcaper,wwlpublish
Describe endpoint security with Microsoft Intune,https://docs.microsoft.com/en-us/learn/modules/describe-endpoint-security-with-microsoft-intune/,5,4336,25897,72.67%,3812,1383,1432,1,434.2111111111111,12.050262102991057,19,4.867256637168142,113,,,mem-intune,business-user;student,beginner,ceperezb,wwlpublish
Describe identity concepts,https://docs.microsoft.com/en-us/learn/modules/describe-identity-principles-concepts/,8,7958,68572,70.96%,6972,2456,2515,,1411.1638888888888,21.40289012470509,19,4.850129198966409,387,,,azure-active-directory,business-user;student,beginner,ceperezb,wwlpublish
Examine SAP NetWeaver with AnyDB on Azure virtual machines,https://docs.microsoft.com/en-us/learn/modules/examine-sap-netweaver-anydb/,6,177,1186,86.96%,139,60,60,,22.596666666666668,15.406818181818181,19,5,2,,,azure,administrator;solution-architect,advanced,eric,wwlpublish
Get help and learn more about Finance and Operations apps,https://docs.microsoft.com/en-us/learn/modules/get-help-finance-operations/,6,1488,8672,76.77%,1104,423,394,,69.54833333333333,5.623854447439353,19,4.857142857142857,42,,,dynamics-365;dynamics-finance-operations;dynamics-finance;dynamics-scm,business-user;functional-consultant;administrator,beginner,cstorega,cstorega
Get more done with Office across all devices,https://docs.microsoft.com/en-us/learn/modules/get-more-done-with-office-across-devices/,6,7601,52249,75.43%,6684,2517,2587,9,907.335,14.364142480211083,19,4.717105263157895,152,,,m365;office-365,business-owner;business-user,beginner,dahans,wwlpublish
Get started with Microsoft Cloud for Healthcare solutions powered by Dynamics 365,https://docs.microsoft.com/en-us/learn/modules/get-started-healthcare/,5,160,780,32.69%,106,17,15,1,21.14388888888889,16.058649789029534,19,,,,,industry-solutions;mscloud-healthcare,business-user;functional-consultant;maker,beginner,dbeasley,DaveBeasley
Harness business intelligence with Microsoft 365 analytics and reporting,https://docs.microsoft.com/en-us/learn/modules/harness-business-intelligence-with-microsoft-365-analytics-reporting/,6,4578,31532,78.89%,4041,1596,1661,1,398.76222222222225,10.47995327785078,19,4.7272727272727275,121,,,m365;office-365,business-owner;business-user,beginner,dahans,wwlpublish
Integrate Power Apps portals with web-based technologies,https://docs.microsoft.com/en-us/learn/modules/portals-integration/,6,1082,4564,42.86%,745,159,160,,82.47,9.180333951762524,19,4.8,5,,,power-platform;power-apps,maker;functional-consultant;administrator,intermediate,dbeasley,DaveBeasley
Introduction to Azure Migrate for server migration,https://docs.microsoft.com/en-us/learn/modules/m365-azure-migrate-introduction/,4,460,2068,58.62%,348,102,86,,27.833333333333332,7.260869565217392,19,5,4,,,m365;azure;azure-virtual-machines;azure-migrate,administrator,intermediate,beccarobins,beccarobins
Introduction to Azure Security Center,https://docs.microsoft.com/en-us/learn/modules/introduction-to-azure-security-center/,11,376,3364,59.03%,290,85,97,1,37.99111111111111,12.189661319073084,19,4.666666666666667,3,,,azure;azure-artifacts;azure-boards;azure-cloud-services;azure-devops;azure-pipelines;azure-repos;azure-test-plans;github,administrator;developer;devops-engineer;security-engineer;security-operations-analyst;service-adoption-specialist;solution-architect;technology-manager,advanced,lumac,wwlpublish
Introduction to GitHub's Products,https://docs.microsoft.com/en-us/learn/modules/github-introduction-products/,5,561,2490,69.52%,374,130,139,,26.750555555555554,5.732261904761905,19,4.928571428571429,14,,,github,administrator;devops-engineer;technology-manager,intermediate,dapolite,davenowell
Introduction to Power BI for Tableau users,https://docs.microsoft.com/en-us/learn/modules/power-bi-tableau-intro/,10,864,5010,29.11%,696,101,71,,62.6675,8.72401392111369,19,4,3,,,power-platform;power-bi,business-user;maker,beginner,robde,heyrob
Introduction to security development process,https://docs.microsoft.com/en-us/learn/modules/introduction-security-development-process/,8,364,2660,70.47%,299,105,116,1,38.41416666666667,12.733977900552485,19,5,2,,,azure;azure-artifacts;azure-boards;azure-cloud-services;azure-devops;azure-pipelines;azure-repos;azure-test-plans;github,administrator;developer;devops-engineer;security-engineer;security-operations-analyst;service-adoption-specialist;solution-architect;technology-manager,advanced,lumac,wwlpublish
Introduction to software testing concepts,https://docs.microsoft.com/en-us/learn/modules/visual-studio-test-concepts/,6,1376,7468,38.59%,940,181,140,3,165.45944444444444,14.450606501698205,19,4.615384615384615,13,,,vs,developer;student,beginner,chnoring,kendrahavens
Learn about space rocks and how to classify them,https://docs.microsoft.com/en-us/learn/modules/research-space-rocks-ai-nasa/,8,412,2188,36.81%,326,60,48,,18.851388888888888,5.490695792880259,19,4.75,4,,,vs-code,student;data-scientist,beginner,chnoring,drguthals
Manage application configuration data,https://docs.microsoft.com/en-us/learn/modules/manage-application-configuration-data/,9,336,2832,75.38%,260,98,111,,44.48694444444445,15.888194444444444,19,4.25,4,,,azure;azure-artifacts;azure-boards;azure-cloud-services;azure-devops;azure-pipelines;azure-repos;azure-test-plans;github,administrator;developer;devops-engineer;security-engineer;security-operations-analyst;service-adoption-specialist;solution-architect;technology-manager,advanced,lumac,wwlpublish
Manage Microsoft Teams,https://docs.microsoft.com/en-us/learn/modules/m365-teams-collab-manage-teams/,9,2073,14338,59.47%,1430,424,372,3,187.57361111111112,10.884348807221148,19,4.75,28,,,m365;office-365;office-teams,administrator,beginner,teleary,temanteleary
Manage security in Microsoft Teams,https://docs.microsoft.com/en-us/learn/modules/m365-teams-manage-security/,6,326,1762,82.26%,248,102,101,,17.016666666666666,6.263803680981595,19,4,2,,,office-teams,administrator,intermediate,teleary,temanteleary
Monitor and troubleshoot ADT,https://docs.microsoft.com/en-us/learn/modules/monitor-troubleshoot-adt/,8,158,954,75.00%,96,36,41,,8.986944444444445,6.825527426160337,19,5,1,,,azure;azure-digital-twins;azure-monitor;azure-portal,developer,intermediate,cahowd,wwlpublish
"Monitor, troubleshoot, and investigate Teams usage",https://docs.microsoft.com/en-us/learn/modules/m365-teams-monitor-troubleshoot-investigate/,6,513,2056,48.56%,417,101,102,,14.49638888888889,3.397591145833333,19,5,2,,,office-teams,administrator,intermediate,teleary,temanteleary
Onboard to Microsoft Defender for Endpoint,https://docs.microsoft.com/en-us/learn/modules/m365-get-started-defender-endpoint/,6,736,4920,62.00%,601,186,188,,122.30083333333333,19.99468664850136,19,4.888888888888889,9,,,m365;m365-ems-cloud-app-security;m365-threat-protection,security-operations-analyst;security-engineer,beginner,beccarobins,beccarobins
Protect your endpoint environment with Microsoft Endpoint Manager,https://docs.microsoft.com/en-us/learn/modules/protect-endpoints-with-endpoint-manager/,8,3067,21557,64.29%,2434,783,822,9,455.77777777777777,17.861963858044852,19,4.886075949367089,79,,,mem;m365,administrator,beginner,erikre,Erikre
Provision Premium capacity in Power BI,https://docs.microsoft.com/en-us/learn/modules/power-bi-admin-premium/,7,631,2552,35.65%,433,77,71,,54.185833333333335,10.353980891719745,19,5,5,,,power-platform;power-bi,administrator,intermediate,robde,heyrob
Set up Azure Migrate for server migration,https://docs.microsoft.com/en-us/learn/modules/m365-azure-migrate-set-up/,4,294,1218,66.67%,186,62,60,,16.169444444444444,6.599773242630386,19,5,4,,,m365;azure;azure-virtual-machines;azure-migrate,administrator,intermediate,beccarobins,beccarobins
Troubleshoot mail flow with Exchange Online,https://docs.microsoft.com/en-us/learn/modules/m365-messaging-troubleshoot-mail-flow/,7,658,4006,59.81%,428,128,117,,67.75833333333334,12.357142857142858,19,4.8,5,,,m365;office-365;office-exchange-server,administrator,intermediate,teleary,temanteleary
Understand co-management using Microsoft Endpoint Configuration Manager,https://docs.microsoft.com/en-us/learn/modules/understand-co-management/,6,300,1368,59.74%,154,46,58,2,15.768055555555556,6.307222222222222,19,4.666666666666667,6,,,m365;mem,administrator,beginner,erikre,Erikre
Understand hybrid connectivity,https://docs.microsoft.com/en-us/learn/modules/m365-teams-upgrade-hybrid/,9,468,2124,59.62%,210,62,60,,25.895833333333332,6.668454935622318,19,5,2,,,m365;office-teams,administrator,intermediate,teleary,temanteleary
Understand Microsoft 365 audit logging and monitoring,https://docs.microsoft.com/en-us/learn/modules/audit-logging-monitoring/,5,827,2354,27.32%,410,56,56,,34.26444444444444,4.977885391444714,19,,,,,m365,auditor;privacy-manager;risk-practitioner,beginner,beccarobins,beccarobins
Understand your SharePoint site options,https://docs.microsoft.com/en-us/learn/modules/m365-teams-sharepoint-plan-site-architecture/,7,1738,11480,62.46%,1221,381,350,2,209.2375,14.480103806228374,19,4.909090909090909,33,,,m365,administrator,intermediate,teleary,temanteleary
Update the job item cost in Dynamics 365 Business Central,https://docs.microsoft.com/en-us/learn/modules/update-job-item-cost/,4,112,324,59.26%,54,16,15,,3.5722222222222224,3.8273809523809526,19,,,,,dynamics-365;dynamics-business-central,functional-consultant;business-user,intermediate,kschimke,KevSch
Use DAX time intelligence functions in Power BI Desktop models,https://docs.microsoft.com/en-us/learn/modules/dax-power-bi-time-intelligence/,5,3289,13444,39.44%,2342,461,430,1,372.08166666666665,13.612743902439025,19,4.7560975609756095,41,,,power-bi;power-platform,maker;data-analyst,intermediate,robde,heyrob
Virtualize memory,https://docs.microsoft.com/en-us/learn/modules/cmu-virtualize-memory/,6,279,1454,74.70%,167,62,63,,21.566388888888888,9.309232613908874,19,5,3,,,azure,developer;student,beginner,chnoring,softchris
Add custom domain name to Azure Active Directory,https://docs.microsoft.com/en-us/learn/modules/add-custom-domain-name-azure-active-directory/,5,2888,13978,79.53%,2111,839,893,4,145.30972222222223,6.046174294960703,18,4.729166666666667,48,,,azure;azure-active-directory,administrator,beginner,cwatson,cwatson-cat
Analyze your device and app readiness for Windows,https://docs.microsoft.com/en-us/learn/modules/m365-modern-device-app/,5,3247,17944,62.81%,2652,831,842,5,356.4794444444444,13.186662556514591,18,4.698630136986301,73,,,m365;office-365;windows,administrator,intermediate,teleary,temanteleary
Build reusable components with Blazor,https://docs.microsoft.com/en-us/learn/modules/blazor-build-reusable-components/,6,483,2336,51.63%,306,79,75,,41.07972222222222,10.22731673582296,18,4.833333333333333,6,,,blazor;dotnet;aspnet-core,developer,intermediate,jefritz,csharpfritz
Choose the right device for the right space with Microsoft Teams,https://docs.microsoft.com/en-us/learn/modules/m365-teams-rooms-right-device-space/,5,401,2182,78.79%,331,130,142,1,24.905555555555555,7.471666666666667,18,4.714285714285714,7,,,m365;office-teams,administrator,intermediate,teleary,temanteleary
Configure Azure alerts,https://docs.microsoft.com/en-us/learn/modules/configure-azure-alerts/,6,4128,30041,83.28%,3882,1609,1739,2,329.16,9.601166747690812,18,4.777777777777778,63,,,azure-monitor,administrator,intermediate,cynthist,wwlpublish
Configure Azure Application Gateway,https://docs.microsoft.com/en-us/learn/modules/configure-azure-application-gateway/,6,5200,36055,78.92%,4722,1850,1992,5,503.05055555555555,11.66268675940237,18,4.828947368421052,76,,,azure-vpn-gateway,administrator,intermediate,cynthist,wwlpublish
