Title,LiveUrl,Total Units,Visitors,Page Views,Module Completed Rate,Module Started,Module Completed,Badges,Shared Badges,Module Hours Viewed,Module Avg Minutes per UV,Duration,Average Star rating,Total Rater,Sandbox Activate(Clicks),Sandbox Activate(Users),Products,Roles,Levels,MSAuthor,GitHubAuthor
Design authentication and authorization solutions,https://docs.microsoft.com/en-us/learn/modules/design-authentication-authorization-solutions/,12,3920,38286,50.19%,3232,805,870,3,1186.8230555555556,36.55512491444216,36,4.811320754716981,53,,,azure-active-directory;azure-active-directory-b2c;azure-rbac,solution-architect,advanced,cynthist,wwlpublish
"Die Struktur eines Teams mit Kanälen, Registerkarten, Dateien und Apps",https://docs.microsoft.com/en-us/learn/modules/die-struktur-eines-teams/,10,,,,,,,,,,36,,,,,office-teams,k-12-educator;school-leader,beginner,abdewees,mec-sa
Discover customer needs as a Solution Architect for Dynamics 365 and Microsoft Power Platform,https://docs.microsoft.com/en-us/learn/modules/discover-customer-needs/,6,1073,5758,50.47%,857,215,208,1,164.23055555555555,18.45287141073658,36,4.9,10,,,dynamics-365;power-platform,solution-architect,advanced,dbeasley,DaveBeasley
Discover data analysis,https://docs.microsoft.com/en-us/learn/modules/data-analytics-microsoft/,6,78179,464524,37.53%,69086,12900,10131,121,12994.279166666667,20.055479099678458,36,4.797917942437232,1633,,,power-bi;power-platform,data-analyst,intermediate,robde,heyrob
Discover Microsoft safety guidelines for responsible conversational AI development,https://docs.microsoft.com/en-us/learn/modules/secure-responsible-conversational-ai/,9,42,136,66.67%,12,4,3,,1.9327777777777777,5.522222222222222,36,,,,,azure;dynamics-365,functional-consultant;business-user,beginner,japerena,Adriamen
Enhance agent productivity with Customer Service workspace,https://docs.microsoft.com/en-us/learn/modules/enhance-agent-productivity-customer-service-workspace/,7,190,1074,50.72%,138,35,36,,18.558333333333334,11.721052631578948,36,,,,,dynamics-365;dynamics-customer-service,business-user;functional-consultant,intermediate,kschimke,KevSch
Explore general ledger in Dynamics 365,https://docs.microsoft.com/en-us/learn/modules/explore-general-ledger-dynamics-365/,7,1068,7868,52.78%,870,228,223,,256.4172222222222,28.9736974262398,36,4.923076923076923,13,,,dynamics-finance,business-owner;business-user;functional-consultant;student,beginner,ceabrams,wwlpublish
Explore security concepts in Azure Machine Learning,https://docs.microsoft.com/en-us/learn/modules/azure-machine-learning-security/,8,1329,10718,58.94%,1134,333,352,,315.97305555555556,28.681366616238023,36,4.5,14,,,azure;azure-machine-learning;azure-portal,ai-engineer;data-scientist;developer;solution-architect;student,beginner,jasdeb,wwlpublish
Explore security solutions in Microsoft 365,https://docs.microsoft.com/en-us/learn/modules/introduction-to-security-solutions-microsoft-365/,8,494,3236,63.95%,344,110,124,,94.41916666666667,22.93582995951417,36,5,5,,,azure-active-directory;m365;office-365,administrator;security-engineer;solution-architect;technology-manager,intermediate,tfrink,wwlpublish
Explore SharePoint Online as a Microsoft 365 Enterprise Administrator,https://docs.microsoft.com/en-us/learn/modules/explore-sharepoint-online/,9,1304,8118,53.61%,832,223,222,,228.9475,21.068788343558282,36,4.818181818181818,11,,,azure-active-directory;m365;office-365,administrator;solution-architect;technology-manager,intermediate,tfrink,wwlpublish
