Title,LiveUrl,Total modules,Visitors,Page Views,LPCompletedRate,LPStarted,LPComplete,Trophies,Shared Trophies,Avg Minutes per Visitor,Bookmard Users,Duration(min),LearningPathUid,Roles,Products,Levels,MSAuthor,GitHubAuthor
Microsoft Azure AI Fundamentals: Explore conversational AI,https://docs.microsoft.com/en-us/learn/paths/explore-conversational-ai/,1,4565,24128,40.34%,3562,1437,1614,1727,10.61055494706097,3239,29,learn.wwl.explore-conversational-ai,ai-engineer;data-scientist;developer;solution-architect;student,azure-bot-service;azure-cognitive-services,beginner,gerryo,wwlpublish
Deploy and work with Loss Prevention for Dynamics 365 Fraud Protection,https://docs.microsoft.com/en-us/learn/paths/deploy-work-loss-prevention-fraud-protection/,3,184,1438,39.29%,28,11,13,1727,13.897463768115943,41,154,learn-dynamics.deploy-work-loss-prevention-fraud-protection,functional-consultant;administrator;business-user;developer,dynamics-365;dynamics-fraud-protection,intermediate,cstorega,cstorega
Build community-driven software projects on GitHub,https://docs.microsoft.com/en-us/learn/paths/build-community-driven-projects-github/,7,6523,47465,39.14%,700,274,291,1727,13.872872911237161,1001,361,learn.build-community-driven-projects-github,devops-engineer;developer;solution-architect,github,beginner,thpetche,tpetchel
AZ-204: Instrument solutions to support monitoring and logging,https://docs.microsoft.com/en-us/learn/paths/az-204-instrument-solutions-support-monitoring-logging/,1,2738,19615,38.16%,2419,923,1079,1727,18.51127952276601,244,27,learn.wwl.az-204-instrument-solutions-to-support-monitoring-logging,developer,azure-application-insights,intermediate,jeffko,wwlpublish
Build a question answering solution,https://docs.microsoft.com/en-us/learn/paths/build-qna-solution/,1,1018,9714,37.39%,920,344,382,1727,16.021496398166338,199,53,learn.wwl.build-qna-solution,ai-engineer;developer,azure-cognitive-services,intermediate,gmalc,wwlpublish
AZ-400: Manage source control,https://docs.microsoft.com/en-us/learn/paths/az-400-manage-source-control/,15,8199,91021,36.96%,625,231,229,1727,20.054193600845633,2581,829,learn.az-400-manage-source-control,devops-engineer;administrator;developer;solution-architect,azure;github,beginner,thpetche,tpetchel
Connect your services together,https://docs.microsoft.com/en-us/learn/paths/connect-your-services-together/,5,4593,65101,36.31%,1435,521,545,1727,34.98358008563756,7173,240,learn.connect-your-services-together,developer,azure;azure-service-bus;azure-event-grid;azure-event-hubs;azure-storage,beginner;intermediate,adsteven,adrianstevens
Migrating Cassandra and MongoDB workloads to Cosmos DB,https://docs.microsoft.com/en-us/learn/paths/migrate-cassandra-mongo-db-workloads-to-cosmos-db/,3,227,1745,35.92%,103,37,38,1727,12.624522760646109,477,148,learn.wwl.migrating-cassandra-mongo-db-workloads-cosmos-db,data-engineer,azure-cosmos-db,intermediate,rcaper,wwlpublish
Discover ways to foster an AI-ready culture in your business,https://docs.microsoft.com/en-us/learn/paths/foster-ai-ready-culture/,5,1211,13831,35.90%,351,126,131,1727,15.824153592072667,1185,202,learn.foster-an-ai-ready-culture-in-business,functional-consultant;business-user,azure;dynamics-365;m365,intermediate,rawortma,RWortmanMorris
Best practices for Azure migration and modernization,https://docs.microsoft.com/en-us/learn/paths/best-practices-azure-migration/,3,746,8825,35.85%,53,19,20,1727,22.4467381590706,12,245,learn.best-practices-azure-migration,administrator;developer;solution-architect;auditor;business-analyst;business-owner;functional-consultant;privacy-manager;risk-practitioner;security-engineer;solution-architect;student;technology-manager,azure;azure-migrate,intermediate,jumcn,jamcneil
