Title,LiveUrl,Total modules,Visitors,Page Views,LPCompletedRate,LPStarted,LPComplete,Trophies,Shared Trophies,Avg Minutes per Visitor,Bookmard Users,Duration(min),LearningPathUid,Roles,Products,Levels,MSAuthor,GitHubAuthor
Configure and manage virtual networks for Azure administrators,https://docs.microsoft.com/en-us/learn/paths/azure-administrator-manage-virtual-networks/,16,18291,248872,13.33%,735,98,100,1719,38.274953984655475,950,897,learn.azure-admin-manage-virtual-networks,administrator,azure;azure-virtual-machines;azure-virtual-network;azure-dns;azure-vpn-gateway;azure-expressroute;azure-application-gateway;azure-load-balancer;azure-cdn;azure-traffic-manager;azure-bastion;azure-firewall;azure-virtual-desktop,beginner,cwatson,cwatson-cat
Windows Server high availability,https://docs.microsoft.com/en-us/learn/paths/windows-server-high-availability/,4,1093,7648,13.33%,435,58,62,1719,16.35218054284843,612,203,learn.wwl.windows-server-high-availability,administrator;security-engineer;solution-architect,windows-server,intermediate,tonyj,wwlpublish
Create Azure IoT services in the Azure portal,https://docs.microsoft.com/en-us/learn/paths/create-azure-iot-services-azure-portal/,4,1614,16771,13.32%,1096,146,165,1719,28.487856257744735,61,144,learn.wwl.create-azure-iot-services-azure-portal,developer,azure;azure-iot;azure-iot-dps;azure-iot-hub;azure-portal,intermediate,cahowd,wwlpublish
AZ-400: Implement CI with Azure Pipelines and GitHub Actions,https://docs.microsoft.com/en-us/learn/paths/az-400-implement-ci-azure-pipelines-github-actions/,8,1389,24668,13.24%,1171,155,174,1719,36.519882409407245,50,151,learn.wwl.az-400-implement-ci-azure-pipelines-github-actions,administrator;developer;devops-engineer;security-engineer;security-operations-analyst;service-adoption-specialist;solution-architect;technology-manager,azure;azure-artifacts;azure-boards;azure-cloud-services;azure-devops;azure-pipelines;azure-repos;azure-test-plans;github,advanced,lumac,wwlpublish
Plan and implement data platform resources,https://docs.microsoft.com/en-us/learn/paths/plan-implement-data-platform-resources/,4,2567,18987,13.20%,1197,158,144,1719,23.079320867419817,1537,198,learn.wwl.plan-implement-data-platform-resources,data-engineer;database-administrator,azure;azure-sql-database;sql-server,intermediate,jupadrao,wwlpublish
Manage IoT devices by using IoT Hub and apps,https://docs.microsoft.com/en-us/learn/paths/use-iot-hub-apps-manage-iot-devices/,5,420,3987,13.19%,235,31,37,1719,13.019880952380952,19,206,learn.wwl.manage-iot-devices-by-using-iot-hub-apps,developer,azure;azure-clis;azure-iot-hub;azure-iot-sdk;azure-portal,intermediate,cahowd,wwlpublish
Configure and work with omnichannel prerequisites in Dynamics 365 Commerce,https://docs.microsoft.com/en-us/learn/paths/configure-work-omnichannel-prequisites-commerce/,4,349,4342,13.17%,205,27,26,1719,35.243505253104104,94,422,learn-dynamics.configure-work-omnichannel-prequisites-commerce,functional-consultant;business-user,dynamics-365;dynamics-commerce,intermediate,cstorega,cstorega
Manage compliance in Microsoft 365,https://docs.microsoft.com/en-us/learn/paths/manage-compliance-microsoft-365/,4,125,896,13.16%,76,10,10,1719,12.634,27,144,learn.wwl.manage-compliance-microsoft-365,administrator,azure-active-directory;m365,intermediate,tfrink,wwlpublish
Secure cloud apps using Microsoft Cloud App Security,https://docs.microsoft.com/en-us/learn/paths/m365-cloud-app-security-fundamentals/,6,353,3166,13.14%,175,23,25,1719,25.29494806421152,235,174,learn-m365.m365-cloud-app-security,administrator,m365;m365-ems-cloud-app-security,beginner,beccarobins,lizap
AZ-400: Implement continuous feedback,https://docs.microsoft.com/en-us/learn/paths/az-400-implement-continuous-feedback/,8,666,8561,13.10%,496,65,78,1719,21.558383383383383,25,153,learn.wwl.az-400-implement-continuous-feedback,administrator;developer;devops-engineer;security-engineer;security-operations-analyst;service-adoption-specialist;solution-architect;technology-manager,azure;azure-artifacts;azure-boards;azure-cloud-services;azure-devops;azure-pipelines;azure-repos;azure-test-plans;github,advanced,lumac,wwlpublish
MS-500 part 4: Manage Governance and Compliance Features in Microsoft 365,https://docs.microsoft.com/en-us/learn/paths/manage-governance-compliance-features-microsoft-365/,10,2564,29426,13.10%,962,126,152,1719,24.856220748829955,286,458,learn.wwl.manage-governance-compliance-features-microsoft-365,administrator;security-engineer;technology-manager,office-365,intermediate,hrasheed,wwlpublish
Azure for Researchers part 1: Introduction to Cloud Computing,https://docs.microsoft.com/en-us/learn/paths/researcher-introduction-to-cloud-computing/,9,208798,3159801,13.08%,8091,1058,1128,1719,46.90234812274703,1191,343,learn.researcher-introduction-to-cloud-computing,student;school-leader;higher-ed-educator;data-scientist,azure;azure-storage;azure-virtual-machines,beginner,marouill,MaximRouiller
SC-300: Implement Access Management for Apps,https://docs.microsoft.com/en-us/learn/paths/implement-access-management-for-apps/,3,1621,14759,13.04%,1296,169,191,1719,25.269566111453834,834,127,learn.wwl.implement-access-management-for-apps,administrator;identity-access-admin;security-engineer,azure;azure-active-directory,intermediate,roberts,wwlpublish
Manage identity and access in Azure Active Directory,https://docs.microsoft.com/en-us/learn/paths/manage-identity-and-access/,9,50918,461131,13.03%,4941,644,685,1719,23.9907770009296,18378,317,learn.security.manage-identity-and-access,solution-architect;administrator;security-engineer,azure;azure-clis;azure-portal;azure-active-directory,beginner;intermediate,adsteven,adrianstevens
Microsoft 365 Fundamentals: Demonstrate knowledge of Microsoft 365 productivity and teamwork capabilities,https://docs.microsoft.com/en-us/learn/paths/m365-productivity-teamwork-solutions/,5,25373,320258,12.99%,17269,2243,2440,1719,24.861987151696685,12565,125,learn.wwl.m365-productivity-teamwork-solutions,business-owner;business-user;student,m365;office-365,beginner,dahans,wwlpublish
Configure your organization in Finance and Operations apps,https://docs.microsoft.com/en-us/learn/paths/configure-your-organization-finance-ops/,8,2829,47379,12.94%,1128,146,135,1719,164.8331978319783,1856,737,learn-dynamics.configure-your-organization-in-finance-and-ops,business-user;functional-consultant;administrator,dynamics-365;dynamics-finance-operations,intermediate;advanced,cstorega,cstorega
Implement and operate an on-premises and hybrid networking infrastructure,https://docs.microsoft.com/en-us/learn/paths/implement-operate-premises-hybrid/,7,3046,22036,12.92%,534,69,77,1719,18.64933792952506,74,425,learn.wwl.implement-operate-premises-hybrid,administrator;solution-architect;technology-manager,azure;windows-server,intermediate,tonyj,wwlpublish
Set up financial management in Microsoft Dynamics 365 Business Central,https://docs.microsoft.com/en-us/learn/paths/set-up-financial-management-dynamics-365-business-central/,4,1642,17066,12.91%,844,109,116,1719,34.52653268371904,1002,199,learn-dynamics.set-up-financial-management-dynamics-365-business-central,functional-consultant;business-user,dynamics-365;dynamics-business-central,intermediate,kschimke,KevSch
Manage information protection and governance,https://docs.microsoft.com/en-us/learn/paths/m365-compliance-information/,7,2913,29652,12.91%,728,94,95,1719,30.580947476828012,1975,322,learn-m365.m365-compliance-information,administrator;auditor,m365,intermediate,beccarobins,ericweisberg
Accelerate cloud adoption with the Microsoft Cloud Adoption Framework for Azure,https://docs.microsoft.com/en-us/learn/paths/cloud-adoption-framework/,8,2119,23332,12.89%,1443,186,206,1719,21.12133081642284,489,582,learn.accelerate-cloud-adoption,administrator;developer;solution-architect;auditor;business-analyst;business-owner;data-engineer;database-administrator;developer;devops-engineer;functional-consultant;privacy-manager;risk-practitioner;security-engineer;solution-architect;student;technology-manager,azure,beginner,bblanch,BrianBlanchard
Develop data insights and business integrations,https://docs.microsoft.com/en-us/learn/paths/develop-data-insights-business-integrations/,5,556,3743,12.89%,225,29,32,1719,11.050599520383694,17,213,learn.wwl.develop-data-insights-business-integrations,developer,azure;azure-clis;azure-event-grid;azure-iot-hub;azure-iot-sdk;azure-logic-apps;azure-portal;azure-storage;azure-time-series-insights,intermediate,cahowd,wwlpublish
Explore SAP HANA on Azure (Large Instances),https://docs.microsoft.com/en-us/learn/paths/explore-sap-hana-azure-large-instances/,9,140,1973,12.87%,101,13,13,1719,7.540357142857143,18,310,learn.wwl.explore-sap-hana-azure-large-instances,administrator;solution-architect,azure,advanced,eric,wwlpublish
Integrate with Microsoft Power Platform and Microsoft Dataverse,https://docs.microsoft.com/en-us/learn/paths/integrate-power-platform/,2,1351,7977,12.77%,940,120,133,1719,19.724870466321242,1132,246,learn-dynamics.integrate-power-platform,developer,power-apps;power-platform,advanced,dbeasley,DaveBeasley
Migrate application workloads and data to Azure,https://docs.microsoft.com/en-us/learn/paths/migrate-application-workloads-data-azure/,4,8418,56237,12.76%,431,55,58,1719,16.663772075710778,1277,194,learn.wwl.migrate-application-workloads-data-azure,administrator;data-engineer;solution-architect,azure;azure-sql-database,intermediate,tonyj,wwlpublish
Work with Knowledge Management Solutions in Dynamics 365 Customer Service,https://docs.microsoft.com/en-us/learn/paths/work-with-knowledge-management-solutions-in-microsoft-dynamics-365-for-customer-service/,2,712,4176,12.74%,526,67,72,1719,17.73061797752809,946,120,learn-bizapps.work-with-knowledge-management-solutions-dyn365-customer-service,business-user;functional-consultant,dynamics-365;dynamics-customer-service,beginner,dbeasley,DaveBeasley
Build expertise with Power Automate for desktop,https://docs.microsoft.com/en-us/learn/paths/pad-build-expertise/,5,2080,8923,12.73%,385,49,52,1719,8.404046474358974,427,156,learn-bizapps.pad-build-expertise,maker;developer;functional-consultant,power-platform;power-automate,advanced,marleon,mariosleon
"Architect migration, business continuity, and disaster recovery in Azure",https://docs.microsoft.com/en-us/learn/paths/architect-migration-bcdr/,10,13577,121849,12.69%,1403,178,181,1719,23.395030811912303,7837,440,learn.architect-migration-bcdr,solution-architect,azure;azure-virtual-machines;azure-backup;azure-site-recovery;azure-app-service;azure-sql-database,intermediate,jaboes,jboeshart
Optimize government operations with Azure,https://docs.microsoft.com/en-us/learn/paths/optimize-government-operations/,4,216,1473,12.50%,80,10,10,1719,9.646604938271604,55,135,learn.azure.optimize-government-operations,business-user,azure;azure-stack-edge;azure-stack-hub;azure-key-vault;azure-application-gateway;azure-active-directory;azure-virtual-network;azure-expressroute;azure-storage;azure-vpn-gateway;azure-sql-database;azure-disk-encryption,beginner,micrum,Adriamen
Administer containers in Azure,https://docs.microsoft.com/en-us/learn/paths/administer-containers-in-azure/,7,18342,122238,12.43%,1505,187,183,1719,21.648189946570714,6669,310,learn.administer-containers-in-azure,administrator,azure;azure-container-instances;azure-container-registry,beginner,adsteven,adrianstevens
AI business school for government,https://docs.microsoft.com/en-us/learn/paths/ai-business-school-government/,12,5189,49598,12.42%,467,58,57,1719,15.409288880323762,1269,585,learn.ai-business-school-government,functional-consultant;business-user,azure;dynamics-365;m365,beginner;intermediate,rawortma,RWortmanMorris
Configure and work with e-Commerce in Dynamics 365 Commerce,https://docs.microsoft.com/en-us/learn/paths/configure-work-e-commerce/,2,262,2388,12.37%,194,24,24,1719,29.105725190839696,121,230,learn-dynamics.configure-work-e-commerce,functional-consultant;business-user;administrator,dynamics-365;dynamics-commerce,intermediate,cstorega,cstorega
"Work with Microsoft Power Platform tenants, environments, subscriptions, and Dynamics 365 apps",https://docs.microsoft.com/en-us/learn/paths/implementing-customer-engagement-apps/,4,2051,17633,12.36%,1181,146,157,1719,31.593165935316105,2285,315,learn-dynamics.implementing-customer-engagement-online,administrator;business-user;functional-consultant,dynamics-365;power-platform,intermediate,dbeasley,DaveBeasley
SQL Server upgrades,https://docs.microsoft.com/en-us/learn/paths/sql-server-2017-upgrades/,5,1491,7785,12.35%,340,42,33,1719,9.423027051196065,1322,196,learn-sqlserver.sql-server-2017-upgrades,data-engineer,sql-server,intermediate,v-gea,GeoffAllix
Manage Windows Servers and workloads in a hybrid environment,https://docs.microsoft.com/en-us/learn/paths/manage-windows-servers-workloads-hybrid-environment/,6,3871,27618,12.34%,843,104,128,1719,21.33508137432188,119,241,learn.wwl.manage-windows-servers-workloads-hybrid-environment,administrator;solution-architect;technology-manager,azure;windows-server,intermediate,tonyj,wwlpublish
Write advanced Transact-SQL queries,https://docs.microsoft.com/en-us/learn/paths/write-advanced-transact-sql-queries/,4,1017,10064,12.33%,746,92,103,1719,24.37286135693215,371,207,learn.wwl.write-advanced-transact-sql-queries,data-analyst;data-engineer;data-scientist;database-administrator;developer;solution-architect;student,azure-sql-database;azure-sql-managed-instance;azure-sql-virtual-machines;azure-sqlserver-vm;sql-server,advanced,rcaper,wwlpublish
Deploy a website to Azure with Azure App Service,https://docs.microsoft.com/en-us/learn/paths/deploy-a-website-with-azure-app-service/,6,22101,200155,12.31%,4817,593,643,1719,15.214422424324692,8482,243,learn.deploy-a-website-with-azure-app-service,developer,azure;azure-app-service;azure-portal,beginner,adsteven,adrianstevens
Set up jobs and resources in Microsoft Dynamics 365 Business Central,https://docs.microsoft.com/en-us/learn/paths/set-up-jobs-resources/,6,303,2526,12.31%,130,16,17,1719,14.972222222222221,177,138,learn-dynamics.set-up-jobs-resources,functional-consultant;business-user,dynamics-365;dynamics-business-central,intermediate,kschimke,KevSch
AZ-400: Implement security and validate code bases for compliance,https://docs.microsoft.com/en-us/learn/paths/az-400-implement-security-validate-code-bases-compliance/,6,766,9311,12.29%,602,74,88,1719,20.363120104438643,28,97,learn.wwl.az-400-implement-security-validate-code-basescompliance,administrator;developer;devops-engineer;security-engineer;security-operations-analyst;service-adoption-specialist;solution-architect;technology-manager,azure;azure-artifacts;azure-boards;azure-cloud-services;azure-devops;azure-pipelines;azure-repos;azure-test-plans;github,advanced,lumac,wwlpublish
Get Started Querying with Transact-SQL,https://docs.microsoft.com/en-us/learn/paths/get-started-querying-with-transact-sql/,6,5017,65911,12.28%,3232,397,433,1719,39.365567071955354,2271,340,learn.wwl.get-started-querying-with-transact-sql,data-analyst;data-engineer;data-scientist;database-administrator;developer;solution-architect;student;technology-manager,azure-sql-database;sql-server;azure-sql-managed-instance;azure-sqlserver-vm;azure-sql-virtual-machines,beginner,kadelane,wwlpublish
Learn the business value of Microsoft Azure,https://docs.microsoft.com/en-us/learn/paths/learn-business-value-of-azure/,7,6280,42395,12.22%,1489,182,188,1719,14.153466029723992,4225,274,learn-wwl.learn-business-value-of-azure-v1-1,business-user,azure,beginner,rknapp,wwlpublish
Store data in Azure,https://docs.microsoft.com/en-us/learn/paths/store-data-in-azure/,5,26944,410329,12.20%,9227,1126,1223,1719,31.942133684679334,13641,220,learn.store-data-in-azure,developer;data-engineer,azure;azure-storage;azure-portal;azure-cloud-shell,beginner,adsteven,adrianstevens
AZ-104: Deploy and manage Azure compute resources,https://docs.microsoft.com/en-us/learn/paths/az-104-manage-compute-resources/,11,34056,503932,12.20%,9507,1160,1269,1719,27.642685087307182,8015,379,learn.az-104-manage-compute-resources,administrator,azure;azure-virtual-machines;azure-clis;azure-resource-manager;azure-vm-scalesets;azure-container-instances;azure-container-registry;azure-kubernetes-service,beginner,cynthist,wwlpublish
Solve problems in real time with Dynamics 365 Remote Assist,https://docs.microsoft.com/en-us/learn/paths/solve-problems-remote-assist/,2,246,1443,12.20%,123,15,15,1719,10.767750677506776,210,85,learn-dynamics.solve-problems-remote-assist,administrator;functional-consultant;business-user,dynamics-365;dynamics-field-service;dynamics-remote-assist,intermediate,dbeasley,DaveBeasley
Use Connected Customer Service with Dynamics 365,https://docs.microsoft.com/en-us/learn/paths/use-connected-customer-service/,2,118,621,12.16%,74,9,9,1719,10.82415254237288,8,99,learn-dynamics.use-connected-customer-service,functional-consultant;business-user,dynamics-365;dynamics-customer-service,intermediate,kschimke,KevSch
Extend IoT solutions by using Azure Digital Twins,https://docs.microsoft.com/en-us/learn/paths/extend-iot-solutions-by-using-azure-digital-twins/,4,616,6141,12.13%,305,37,42,1719,22.68249458874459,16,212,learn.wwl.extend-iot-solutions-by-using-azure-digital-twins,developer,azure;azure-digital-twins;azure-iot-hub;azure-iot-sdk;azure-portal,intermediate,cahowd,wwlpublish
Work with Power Automate for desktop,https://docs.microsoft.com/en-us/learn/paths/pad-work/,6,3430,19318,12.09%,645,78,74,1719,11.51684159378037,821,233,learn-bizapps.pad-work,maker;developer;functional-consultant,power-platform;power-automate,beginner,marleon,mariosleon
Migrate virtual machines and apps using Azure Migrate,https://docs.microsoft.com/en-us/learn/paths/m365-azure-migrate-virtual-machine/,4,482,3438,12.01%,333,40,44,1719,13.624688796680498,666,95,learn-m365.m365-azure-migrate-virtual-machine,administrator,m365;azure;azure-virtual-machines;azure-migrate,intermediate,nedelgad,ndelgado
Explore the foundations of IaaS for SAP on Azure,https://docs.microsoft.com/en-us/learn/paths/explore-foundations-of-iaas/,4,168,2627,11.97%,142,17,19,1719,30.70059523809524,23,294,learn.wwl.explore-foundations-of-iaas,administrator;solution-architect,azure,advanced,eric,wwlpublish
Explore data governance in Microsoft 365,https://docs.microsoft.com/en-us/learn/paths/introduction-to-data-governance-microsoft-365/,6,537,5177,11.95%,318,38,43,1719,25.18072625698324,199,225,learn.wwl.introduction-to-data-governance-microsoft-365,administrator;security-engineer;solution-architect;technology-manager,azure-active-directory;m365;office-365,intermediate,tfrink,wwlpublish
Azure for the Data Engineer,https://docs.microsoft.com/en-us/learn/paths/azure-for-the-data-engineer/,3,14365,136908,11.94%,12705,1517,1611,1719,33.19683257918552,12955,111,learn.data-ai.azure-for-the-data-engineer,data-engineer,azure;azure-portal;azure-storage;azure-virtual-machines,beginner,chtestao,ctesta-oneillmsft
Secure Windows Server on-premises and hybrid infrastructures,https://docs.microsoft.com/en-us/learn/paths/secure-windows-server-premises-hybrid-infrastructures/,10,1773,13334,11.91%,319,38,40,1719,15.204935138183869,19,400,learn.wwl.secure-windows-server-premises-hybrid-infrastructures,administrator;solution-architect;technology-manager,azure;azure-active-directory;windows-server,intermediate,tonyj,wwlpublish
Sell through the commercial marketplace,https://docs.microsoft.com/en-us/learn/paths/sell-through-commercial-marketplace/,4,1233,7280,11.87%,379,45,46,1719,10.628575290619086,198,126,learn.sell-through-commercial-marketplace,business-user;business-owner;technology-manager;administrator,azure;azure-marketplace;dynamics-365;m365;office-365;power-platform,beginner,maevan,MarlEva
"AZ-400: Manage infrastructure as code using Azure, DSC, and third-party tools",https://docs.microsoft.com/en-us/learn/paths/az-400-manage-infrastructure-as-code-using-azure/,8,1115,15292,11.86%,590,70,84,1719,25.53134529147982,11,167,learn.wwl.az-400-manage-infrastructure-as-code-using-azure,administrator;developer;devops-engineer;security-engineer;security-operations-analyst;service-adoption-specialist;solution-architect;technology-manager,azure;azure-artifacts;azure-boards;azure-cloud-services;azure-devops;azure-pipelines;azure-repos;azure-test-plans;github,advanced,lumac,wwlpublish
Introduction to configuration in Dynamics 365 model-driven apps,https://docs.microsoft.com/en-us/learn/paths/introduction-configuration-dynamics-365-model-driven-apps/,3,834,5911,11.83%,431,51,55,1719,15.415847322142286,1294,63,learn.wwl.introduction-configuration-dynamics-365-model-driven-apps,administrator;business-analyst;business-user;developer;functional-consultant,dynamics-365;dynamics-customer-service;dynamics-field-service;dynamics-marketing;dynamics-sales;power-platform,beginner,anjenni,wwlpublish
Get started with managing Microsoft Teams,https://docs.microsoft.com/en-us/learn/paths/get-started-managing-microsoft-teams/,4,7757,88172,11.83%,4819,570,621,1719,33.653491470070044,1359,206,learn.wwl.get-started-managing-microsoft-teams,administrator,m365;office-teams,intermediate,jennyche,wwlpublish
AZ-204: Create Azure App Service web apps,https://docs.microsoft.com/en-us/learn/paths/create-azure-app-service-web-apps/,4,13126,174888,11.81%,11298,1334,1513,1719,40.61088678957794,677,108,learn.wwl.create-azure-app-service-web-apps,developer,azure;azure-app-service,intermediate,jeffko,wwlpublish
Azure Fundamentals part 1: Describe core Azure concepts (AZ-900),https://docs.microsoft.com/en-us/learn/paths/az-900-describe-cloud-concepts/,3,293043,2744798,11.79%,233144,27486,29647,1719,28.430753450290002,92039,94,learn.az-900-describe-cloud-concepts,administrator;solution-architect;developer;student,azure;azure-resource-manager;azure-functions,beginner,rknapp,Randall-Knapp
AZ-400: Implement a secure continuous deployment using Azure Pipelines,https://docs.microsoft.com/en-us/learn/paths/az-400-implement-secure-continuous-deployment/,8,940,11990,11.75%,783,92,107,1719,22.907429078014186,42,135,learn.wwl.az-400-implement-secure-continuous-deployment,administrator;developer;devops-engineer;security-engineer;security-operations-analyst;service-adoption-specialist;solution-architect;technology-manager,azure;azure-artifacts;azure-boards;azure-cloud-services;azure-devops;azure-pipelines;azure-repos;azure-test-plans;github,advanced,lumac,wwlpublish
Process customer and vendor payments in Microsoft Dynamics 365 Business Central,https://docs.microsoft.com/en-us/learn/paths/process-customer-vendor-payments-dynamics-365-business-central/,4,959,10206,11.73%,597,70,72,1719,22.831195689954814,720,186,learn-dynamics.process-customer-vendor-payments-dynamics-365-business-central,functional-consultant;business-user,dynamics-365;dynamics-business-central,intermediate,kschimke,KevSch
Collaborate with SharePoint in Microsoft 365,https://docs.microsoft.com/en-us/learn/paths/m365-teams-sharepoint/,4,3081,24770,11.68%,2063,241,256,1719,17.993892675538245,5558,74,learn-m365.m365-teams-sharepoint,administrator,m365;office-365,intermediate,teleary,AlexandraHrt
Manage events in Dynamics 365 Marketing,https://docs.microsoft.com/en-us/learn/paths/manage-events-dynamics-365-marketing/,4,520,4849,11.63%,361,42,42,1719,26.613653846153845,680,244,learn-dynamics.manage-events-dynamics-marketing,business-user;functional-consultant,dynamics-365;dynamics-marketing,intermediate,dbeasley,DaveBeasley
Create jobs in Microsoft Dynamics 365 Business Central,https://docs.microsoft.com/en-us/learn/paths/create-jobs/,4,224,1493,11.63%,129,15,15,1719,14.875967261904762,179,112,learn-dynamics.create-jobs,functional-consultant;business-user,dynamics-365;dynamics-business-central,intermediate,kschimke,KevSch
Create a business process flow in Power Automate,https://docs.microsoft.com/en-us/learn/paths/create-business-process-flow/,4,5235,37999,11.60%,3379,392,419,1719,19.164288443170964,4383,184,learn-bizapps.create-business-process-flow,maker;functional-consultant;business-user,power-automate;power-platform,intermediate,kschimke,KevSch
Work with relational data in Azure,https://docs.microsoft.com/en-us/learn/paths/work-with-relational-data-in-azure/,6,6045,46774,11.58%,898,104,111,1719,19.48358422939068,6841,310,learn.work-with-relational-data-in-azure,developer;data-engineer,azure;azure-sql-database;azure-cloud-shell;azure-clis,intermediate,adsteven,adrianstevens
Learn how Microsoft supports secure software development as part of a cybersecurity solution,https://docs.microsoft.com/en-us/learn/paths/secure-software-development-for-cybersecurity/,8,37478,270276,11.54%,286,33,35,1719,20.12582804133981,211,357,learn-m365.cybersecurity-secure-software,administrator;security-operations-analyst;security-engineer,m365;azure,beginner,beccarobins,lizap
Learn how Microsoft supports using multifactor authentication as part of a cybersecurity solution,https://docs.microsoft.com/en-us/learn/paths/implement-mfa-for-cybersecurity/,3,3749,27739,11.54%,338,39,44,1719,25.020961145194274,277,137,learn-m365.cybersecurity-multifactor-authentication,administrator;security-operations-analyst;security-engineer,m365;azure,beginner,beccarobins,lizap
Universal Resource Scheduling in Microsoft Dynamics 365 for Field Service,https://docs.microsoft.com/en-us/learn/paths/universal-resource-scheduling/,6,658,6194,11.52%,330,38,38,1719,30.668743667679838,536,447,learn-bizapps.universal-resource-scheduling,functional-consultant,dynamics-365;dynamics-field-service,intermediate,dbeasley,DaveBeasley
Build great solutions with the Microsoft Azure Well-Architected Framework,https://docs.microsoft.com/en-us/learn/paths/azure-well-architected-framework/,6,12546,94929,11.45%,4541,520,569,1719,25.731303469897444,4764,338,learn.azure-well-architected-framework,solution-architect,azure;azure-storage;azure-sql-database;azure-cosmos-db;azure-cost-management;azure-advisor;azure-monitor;azure-cdn;azure-active-directory;azure-virtual-machines;azure-app-service;azure-resource-manager;azure-site-recovery;azure-backup;azure-expressroute,beginner,jaboes,jboeshart
Set up engineering change management for Dynamics 365 Supply Chain Management,https://docs.microsoft.com/en-us/learn/paths/set-up-engineering-change-management/,4,143,1681,11.43%,70,8,8,1719,21.946853146853147,56,268,learn-dynamics.set-up-engineering-change-management,administrator;functional-consultant;business-user,dynamics-365;dynamics-scm;dynamics-finance-operations,intermediate,cstorega,cstorega
Work with cases in Dynamics 365 Customer Service,https://docs.microsoft.com/en-us/learn/paths/work-with-cases-in-dynamics-365-for-customer-service/,5,3107,25214,11.43%,1164,133,112,1719,30.00323463147731,1370,267,learn-bizapps.customer-service-hub-cases-slas,business-user;functional-consultant,dynamics-365;dynamics-customer-service,beginner,kschimke,KevSch
Manage Microsoft 365 messaging organizational settings and architecture,https://docs.microsoft.com/en-us/learn/paths/m365-messaging-architecture/,7,1362,13618,11.34%,767,87,93,1719,28.802741067058246,1213,204,learn-m365.m365-messaging-architecture,administrator,m365;office-365;office-exchange-server,intermediate,teleary,AlexandraHrt
"AZ-305: Design identity, governance, and monitor solutions",https://docs.microsoft.com/en-us/learn/paths/design-identity-governance-monitor-solutions/,3,6128,61524,11.33%,5145,583,658,1719,34.59362761096606,285,93,learn.wwl.design-identity-governance-monitor-solutions,solution-architect,azure,advanced,cynthist,wwlpublish
Configure and use point of sale in Dynamics 365 Commerce,https://docs.microsoft.com/en-us/learn/paths/configure-use-pos-commerce/,3,442,3571,11.32%,212,24,26,1719,24.871191553544495,115,327,learn-dynamics.configure-use-pos-commerce,functional-consultant;business-user;administrator,dynamics-365;dynamics-commerce,intermediate,cstorega,cstorega
Configure and manage procurement and vendors in Dynamics 365 Supply Chain Management,https://docs.microsoft.com/en-us/learn/paths/configure-manage-procurement-vendors-dyn365-supply-chain-mgmt/,6,1956,17502,11.30%,770,87,49,1719,30.304166666666667,762,821,learn-dynamics.configure-manage-procurement-vendors-d365-finance-ops,functional-consultant;business-user,dynamics-365;dynamics-scm;dynamics-finance-operations,intermediate,cstorega,cstorega
Get started with Microsoft Viva Topics,https://docs.microsoft.com/en-us/learn/paths/m365-viva-topics/,5,1015,7407,11.29%,620,70,73,1719,12.86072249589491,332,114,learn-m365-pr.viva-topics,administrator,m365,beginner,teleary,lizap
Get started and use functionality in Microsoft Dynamics 365 Human Resources,https://docs.microsoft.com/en-us/learn/paths/get-started-use-human-resources/,6,346,4051,11.28%,133,15,18,1719,24.479479768786128,45,430,learn-dynamics.get-started-use-human-resources,functional-consultant;business-user,dynamics-365;dynamics-human-resources,beginner,kschimke,KevSch
Control Azure spending and manage bills with Azure Cost Management and billing,https://docs.microsoft.com/en-us/learn/paths/control-spending-manage-bills/,6,28719,239334,11.26%,1057,119,123,1719,24.8738082802326,1869,229,learn.control-spending-manage-bills,administrator;solution-architect;business-analyst;business-user;technology-manager,azure;azure-portal;azure-cost-management;azure-advisor,beginner,cwatson,cwatson-cat
Work with Microsoft Cloud for Healthcare,https://docs.microsoft.com/en-us/learn/paths/work-healthcare-solution/,3,151,1083,11.21%,107,12,12,1719,18.940949227373068,90,84,learn-bizapps.work-healthcare-solution,business-user;functional-consultant,industry-solutions;mscloud-healthcare,beginner,dbeasley,DaveBeasley
Get started using Microsoft Dataverse,https://docs.microsoft.com/en-us/learn/paths/get-started-cds/,7,22768,249708,11.16%,6728,751,720,1719,34.817958684703676,5690,325,learn-dynamics.get-started-using-common-data-service,functional-consultant,dynamics-365;power-platform;common-data-service;power-apps,beginner,kschimke,KevSch
Migrate SQL workloads to Azure,https://docs.microsoft.com/en-us/learn/paths/migrate-sql-workloads-azure/,6,1038,7448,11.16%,466,52,41,1719,15.390671162491971,1860,228,learn.wwl.migrate-sql-workloads-to-azure,administrator;data-engineer;database-administrator;developer;solution-architect,azure-sql-database;azure-virtual-machines;sql-server,intermediate,chtestao,wwlpublish
Program with Transact-SQL,https://docs.microsoft.com/en-us/learn/paths/program-transact-sql/,4,1272,10800,11.14%,781,87,97,1719,24.37017819706499,320,205,learn.wwl.program-transact-sql,data-analyst;data-engineer;data-scientist;database-administrator;developer;solution-architect;student;technology-manager,azure-sql-database;azure-sql-managed-instance;azure-sql-virtual-machines;azure-sqlserver-vm;sql-server,advanced,rcaper,wwlpublish
