Title,LiveUrl,Total modules,Visitors,Page Views,LPCompletedRate,LPStarted,LPComplete,Trophies,Shared Trophies,Avg Minutes per Visitor,Bookmard Users,Duration(min),LearningPathUid,Roles,Products,Levels,MSAuthor,GitHubAuthor
SQL Server on Linux,https://docs.microsoft.com/en-us/learn/paths/sql-server-2017-on-linux/,4,4520,29931,17.05%,264,45,49,1719,14.626563421828909,1278,184,learn-sqlserver.sql-server-on-linux,data-engineer,sql-server,intermediate,v-gea,GeoffAllix
Model data in Power BI,https://docs.microsoft.com/en-us/learn/paths/model-power-bi/,3,22975,246712,17.00%,13762,2340,2502,1719,45.67373231773667,13737,331,learn-bizapps.model-power-bi,data-analyst,power-bi,intermediate,robde,heyrob
Microsoft Dynamics 365 Fundamentals (ERP): Explore Dynamics 365 Finance,https://docs.microsoft.com/en-us/learn/paths/explore-microsoft-dynamics-365-finance/,5,3201,41706,17.00%,1253,213,219,1719,46.499765698219306,673,184,learn.wwl.explore-microsoft-dynamics-365-finance,business-owner;business-user;functional-consultant;student,dynamics-365;dynamics-finance,beginner,ceabrams,wwlpublish
Visualize data in Power BI,https://docs.microsoft.com/en-us/learn/paths/visualize-data-power-bi/,4,19683,254974,16.86%,11788,1988,2130,1719,38.397419092617994,13466,350,learn-bizapps.visual-data-power-bi,data-analyst,power-bi,intermediate,robde,heyrob
Collaborating with Microsoft Teams,https://docs.microsoft.com/en-us/learn/paths/teamwork-specialist/,4,31258,120729,16.86%,2117,357,399,1719,4.101114914581867,1681,150,learn.wwl.teamwork-specialist,business-analyst;business-owner;business-user;student,office-teams,beginner,tishaha,wwlpublish
Use journals in Microsoft Dynamics 365 Business Central,https://docs.microsoft.com/en-us/learn/paths/use-journals-dynamics-365-business-central/,3,1092,8184,16.85%,558,94,101,1719,21.114850427350426,738,132,learn-dynamics.use-journals-dynamics-365-business-central,functional-consultant;business-user,dynamics-365;dynamics-business-central,intermediate,kschimke,KevSch
Manage a company with multiple locations in Microsoft Dynamics 365 Business Central,https://docs.microsoft.com/en-us/learn/paths/manage-multiple-locations/,4,233,1710,16.83%,101,17,17,1719,12.351001430615165,135,141,learn-dynamics.manage-multiple-locations,functional-consultant;business-user,dynamics-365;dynamics-business-central,intermediate,kschimke,KevSch
AZ-104: Implement and manage storage in Azure,https://docs.microsoft.com/en-us/learn/paths/az-104-manage-storage/,8,28606,490313,16.78%,9668,1622,1746,1719,34.90840965764758,8277,233,learn.az-104-manage-storage,administrator,azure;azure-storage;azure-storage-accounts;azure-storage-explorer;azure-blob-storage;azure-files;azure-virtual-machines,beginner,cynthist,wwlpublish
Connect to Finance and Operations apps,https://docs.microsoft.com/en-us/learn/paths/connect-finance-operations/,8,1589,17359,16.75%,400,67,56,1719,31.66701279630795,700,384,learn-dynamics.connect-to-dynamics-365-finance-operations,administrator;developer,dynamics-365;dynamics-finance-operations,intermediate,cstorega,cstorega
Introduction to Secure Application Delivery with Azure network security,https://docs.microsoft.com/en-us/learn/paths/secure-application-delivery/,4,2101,9930,16.67%,186,31,34,1719,14.156758686339838,75,135,learn.secure-application-delivery,business-user,azure-front-door;azure-web-application-firewall;azure-private-link;azure-bastion,beginner,micrum,micrum
Protect on-premises identities with Microsoft Defender for Identity,https://docs.microsoft.com/en-us/learn/paths/defender-identity-protect-on-premises/,3,245,1706,16.67%,180,30,33,1719,11.359727891156462,172,50,learn-m365.m365-defender-identity-protect-on-premises,administrator;security-operations-analyst;security-engineer,m365;mdatp,beginner,beccarobins,alistairmatthews
Protect public sector data in Azure,https://docs.microsoft.com/en-us/learn/paths/protect-public-sector-data/,2,224,1404,16.67%,66,11,11,1719,4.456994047619047,62,41,learn.azure.protect-public-sector-data,business-user,azure;azure-blueprints;azure-iot-hub;azure-stack-hub;azure-stack-edge;azure-farmbeats;azure-active-directory;azure-key-vault;azure-security-center;azure-monitor;azure-policy;azure-firewall;azure-network-watcher;azure-ddos-protection;azure-sentinel;azure-advisor,intermediate,micrum,Adriamen
Create a model-driven application in Power Apps,https://docs.microsoft.com/en-us/learn/paths/create-app-models-business-processes/,4,11015,114123,16.66%,4958,826,773,1719,34.21290512936904,7669,249,learn-bizapps.create-app-models-business-processes,business-user;functional-consultant;maker,power-platform;power-apps,beginner,kschimke,KevSch
