Title,LiveUrl,Total modules,Visitors,Page Views,LPCompletedRate,LPStarted,Sum of LPComplete,Trophies,Shared Trophies,Avg Minutes per Visitor,Bookmard Users,Duration(min),LearningPathUid,Roles,Products,Levels
TensorFlow fundamentals,https://docs.microsoft.com/en-us/learn/paths/tensorflow-fundamentals/,5,785,"4,450",2.64%,531,14,15,1757,18.73738854,181,275,learn.tensorflow.tensorflow-fundamentals,data-scientist;developer;student,azure-machine-learning,beginner;intermediate
Java on Azure,https://docs.microsoft.com/en-us/learn/paths/java-on-azure/,16,"5,115","36,387",2.49%,"2,206",55,61,1757,14.08242424,"1,124",619,learn.java-on-azure,developer;devops-engineer;maker;solution-architect;student;technology-manager,azure;azure-active-directory;azure-app-service;azure-app-service-web;azure-cache-redis;azure-clis;azure-cosmos-db;azure-database-mysql;azure-spring-cloud;azure-web-apps;msal-java;azure-service-bus,beginner;intermediate;advanced
Use DAX in Power BI Desktop,https://docs.microsoft.com/en-us/learn/paths/dax-power-bi/,7,"18,078","121,801",2.49%,"12,515",312,335,1757,20.29891397,"6,188",147,learn-bizapps.use-dax-power-bi-desktop,maker;data-analyst,power-bi,intermediate
Build JavaScript applications with Node.js,https://docs.microsoft.com/en-us/learn/paths/build-javascript-applications-nodejs/,6,"8,001","38,719",2.40%,"2,788",67,74,1757,13.41755197,"2,562",171,learn.build-javascript-applications-nodejs,developer;student,azure,beginner
Azure SQL fundamentals,https://docs.microsoft.com/en-us/learn/paths/azure-sql-fundamentals/,6,"9,847","68,880",2.37%,"8,002",190,205,1757,28.34724451,"6,337",434,learn.azure-sql-fundamentals,database-administrator;administrator;solution-architect,azure;azure-sql-database,beginner
Develop Windows 10 applications,https://docs.microsoft.com/en-us/learn/paths/develop-windows10-apps/,4,"5,367","20,037",2.34%,"1,834",43,51,1757,9.478333644,"3,010",270,learn-windows.develop-windows-apps,developer,windows,beginner
Develop apps with the Microsoft Graph Toolkit,https://docs.microsoft.com/en-us/learn/paths/m365-msgraph-toolkit/,4,808,"3,697",2.32%,560,13,16,1757,8.616604785,238,91,learn-m365.m365-msgraph-toolkit,developer,m365;ms-graph,beginner
Build .NET applications with C#,https://docs.microsoft.com/en-us/learn/paths/build-dotnet-applications-csharp/,6,"40,805","294,084",2.27%,"16,419",372,462,1757,19.21360822,"4,423",184,learn.build-dotnet-applications-csharp,developer,dotnet,beginner
AZ-700 Designing and Implementing Microsoft Azure Networking Solutions,https://docs.microsoft.com/en-us/learn/paths/design-implement-microsoft-azure-networking-solutions-az-700/,8,"9,397","78,867",2.04%,"7,873",161,184,1757,41.92500089,961,567,learn.wwl.designing-implementing-microsoft-azure-networking-solutions-az-700,administrator;network-engineer,azure-application-gateway;azure-dns;azure-expressroute;azure-firewall;azure-firewall-manager;azure-front-door;azure-load-balancer;azure-network-watcher;azure-private-link;azure-traffic-manager;azure-virtual-network;azure-virtual-wan;azure-vpn-gateway,intermediate
Explore Microsoft Graph scenarios for JavaScript development,https://docs.microsoft.com/en-us/learn/paths/m365-msgraph-scenarios/,3,558,"2,976",2.02%,346,7,7,1757,8.648894863,172,104,learn-m365.m365-msgraph-scenarios,developer,m365;ms-graph,intermediate
Extend Microsoft SharePoint – Associate,https://docs.microsoft.com/en-us/learn/paths/m365-sharepoint-associate/,8,"2,443","17,256",2.01%,"1,193",24,27,1757,23.16710329,"1,702",553,learn-m365.sharepoint-associate,developer,m365;office-365,intermediate
Continuous integration with Azure DevOps for Microsoft Dynamics 365 Business Central,https://docs.microsoft.com/en-us/learn/paths/continuous-integration/,7,"1,332","8,781",1.95%,461,9,8,1757,18.13410911,207,432,learn-dynamics.continuous-integration,developer,dynamics-365;dynamics-business-central,intermediate
"Build serverless, full stack applications in Azure",https://docs.microsoft.com/en-us/learn/paths/build-serverless-full-stack-apps-azure/,4,"2,081","9,801",1.94%,"1,389",27,31,1757,18.81657857,"1,041",175,learn.build-serverless-full-stack-apps-azure,developer;database-administrator;solution-architect;devops-engineer;data-engineer,azure-sql-database;github;vs-code;azure-functions;azure-app-service-static;azure-web-apps;azure-logic-apps;azure-devops;azure-blob-storage,intermediate
Extend Office clients with Office add-ins – Associate,https://docs.microsoft.com/en-us/learn/paths/m365-office-add-in-associate/,4,"1,176","4,290",1.81%,441,8,10,1757,7.849404762,663,316,learn-m365.m365-office-add-in-associate,developer,m365;office-add-ins,intermediate
Quantum computing foundations,https://docs.microsoft.com/en-us/learn/paths/quantum-computing-fundamentals/,8,"1,970","14,155",1.75%,"1,199",21,22,1757,27.60440778,"1,232",435,learn.quantum-computing-fundamentals,developer,qdk;azure-quantum,beginner;intermediate
Building Open Source Software (OSS) Analytics Solutions with Azure HDInsight,https://docs.microsoft.com/en-us/learn/paths/build-oss-analytical-solutions-az-hdinsight/,7,538,"3,433",1.62%,308,5,7,1757,14.95442999,"1,155",306,learn.wwl.build-oss-analytical-solutions-az-hdinsight,data-engineer;data-scientist,azure-hdinsight,intermediate
Create microservices with .NET and ASP.NET Core,https://docs.microsoft.com/en-us/learn/paths/create-microservices-with-dotnet/,9,"8,062","49,146",1.39%,"3,951",55,59,1757,21.41588936,848,463,learn.dotnet.create-microservices-with-dotnet,developer;solution-architect,dotnet;aspnet-core;dotnet-core;azure;azure-application-insights;azure-container-registry;azure-kubernetes-service,beginner;intermediate
