Order,ModuleUrl,Uid,Url,Certification,LearningPathUrl,Title,Total Units,Visitors,Page Views,Module Completed Rate,Module Started,Module Completed,Badges,Shared Badges,Module Hours Viewed,Module Avg Minutes per UV,Sum of Duration,Average Star rating,Total Rater,Sandbox Activate(Clicks),Sandbox Activate(Users),Products,Roles,Levels,Month,Year
785,https://docs.microsoft.com/en-us/learn/modules/optimize-data-warehouse-query-performance-azure-synapse-analytics/,learn.wwl.optimize-data-warehouse-query-performance-azure-synapse-analytics,/learn/modules/optimize-data-warehouse-query-performance-azure-synapse-analytics/,dp-203,https://docs.microsoft.com/en-us/learn/paths/work-with-data-warehouses-using-azure-synapse-analytics/,Optimize data warehouse query performance in Azure Synapse Analytics,12,"1,089","10,319",56.13%,848,476,516,1.0,427.4872222,23.553015,62,4.818181818,11,,,azure-synapse-analytics,data-engineer,intermediate,9,2021
786,https://docs.microsoft.com/en-us/learn/modules/manage-monitor-data-warehouse-activities-azure-synapse-analytics/,learn.wwl.manage-monitor-data-warehouse-activities-azure-synapse-analytics,/learn/modules/manage-monitor-data-warehouse-activities-azure-synapse-analytics/,dp-203,https://docs.microsoft.com/en-us/learn/paths/work-with-data-warehouses-using-azure-synapse-analytics/,Manage and monitor data warehouse activities in Azure Synapse Analytics,8,611,"5,280",76.34%,524,400,452,,195.0033333,19.1492635,47,4.75,8,,,azure-synapse-analytics,data-engineer,beginner,9,2021
787,https://docs.microsoft.com/en-us/learn/modules/integrate-sql-apache-spark-pools-azure-synapse-analytics/,learn.wwl.integrate-sql-apache-spark-pools-azure-synapse-analytics,/learn/modules/integrate-sql-apache-spark-pools-azure-synapse-analytics/,dp-203,https://docs.microsoft.com/en-us/learn/paths/work-with-data-warehouses-using-azure-synapse-analytics/,Integrate SQL and Apache Spark pools in Azure Synapse Analytics,11,"1,112","10,491",55.14%,847,467,509,2.0,404.9613889,21.85043465,33,4.666666667,9,,,azure-synapse-analytics,data-engineer,intermediate,9,2021
788,https://docs.microsoft.com/en-us/learn/modules/integrate-sql-apache-spark-pools-azure-synapse-analytics/,learn.wwl.integrate-sql-apache-spark-pools-azure-synapse-analytics,/learn/modules/integrate-sql-apache-spark-pools-azure-synapse-analytics/,dp-203,https://docs.microsoft.com/en-us/learn/paths/perform-data-engineering-with-azure-synapse-apache-spark-pools/,Integrate SQL and Apache Spark pools in Azure Synapse Analytics,11,"1,112","10,491",55.14%,847,467,509,2.0,404.9613889,21.85043465,33,4.666666667,9,,,azure-synapse-analytics,data-engineer,intermediate,9,2021
789,https://docs.microsoft.com/en-us/learn/modules/design-multidimensional-schema-to-optimize-analytical-workloads/,learn.wwl.design-multidimensional-schema-to-optimize-analytical-workloads,/learn/modules/design-multidimensional-schema-to-optimize-analytical-workloads/,dp-203,https://docs.microsoft.com/en-us/learn/paths/work-with-data-warehouses-using-azure-synapse-analytics/,Design a multidimensional schema to optimize analytical workloads,9,"1,043","8,839",63.90%,867,554,612,1.0,303.06555560000004,17.43426015,44,4.7,10,,,azure-synapse-analytics,data-engineer,intermediate,9,2021
790,https://docs.microsoft.com/en-us/learn/modules/design-modern-data-warehouse-using-azure-synapse-analytics/,learn.wwl.design-modern-data-warehouse-using-azure-synapse-analytics,/learn/modules/design-modern-data-warehouse-using-azure-synapse-analytics/,dp-203,https://docs.microsoft.com/en-us/learn/paths/work-with-data-warehouses-using-azure-synapse-analytics/,Design a Modern Data Warehouse using Azure Synapse Analytics,11,"2,208","19,933",39.44%,"1,884",743,783,4.0,1038.5452779999998,28.22133907,62,4.909090909,22,,,azure-synapse-analytics,data-engineer,beginner,9,2021
791,https://docs.microsoft.com/en-us/learn/modules/design-modern-data-warehouse-using-azure-synapse-analytics/,learn.wwl.design-modern-data-warehouse-using-azure-synapse-analytics,/learn/modules/design-modern-data-warehouse-using-azure-synapse-analytics/,dp-203,https://docs.microsoft.com/en-us/learn/paths/realize-integrated-analytical-solutions-with-azure-synapse-analytics/,Design a Modern Data Warehouse using Azure Synapse Analytics,11,"2,208","19,933",39.44%,"1,884",743,783,4.0,1038.5452779999998,28.22133907,62,4.909090909,22,,,azure-synapse-analytics,data-engineer,beginner,9,2021
792,https://docs.microsoft.com/en-us/learn/modules/analyze-optimize-data-warehouse-storage-azure-synapse-analytics/,learn.wwl.analyze-optimize-data-warehouse-storage-azure-synapse-analytics,/learn/modules/analyze-optimize-data-warehouse-storage-azure-synapse-analytics/,dp-203,https://docs.microsoft.com/en-us/learn/paths/work-with-data-warehouses-using-azure-synapse-analytics/,Analyze and optimize data warehouse storage in Azure Synapse Analytics,13,619,"7,306",69.94%,519,363,410,,250.37916669999998,24.26938611,39,4.9,10,,,azure-synapse-analytics,data-engineer,advanced,9,2021
793,https://docs.microsoft.com/en-us/learn/modules/survey-components-of-azure-synapse-analytics/,learn.wwl.survey-components-of-azure-synapse-analytics,/learn/modules/survey-components-of-azure-synapse-analytics/,dp-203,https://docs.microsoft.com/en-us/learn/paths/realize-integrated-analytical-solutions-with-azure-synapse-analytics/,Survey the Components of Azure Synapse Analytics,12,"1,638","18,431",56.46%,"1,385",782,837,3.0,840.4230556,30.78472731,65,4.307692308,26,,,azure-synapse-analytics,data-engineer,beginner,9,2021
794,https://docs.microsoft.com/en-us/learn/modules/introduction-azure-synapse-analytics/,learn.wwl.introduction-to-azure-synapse-analytics,/learn/modules/introduction-azure-synapse-analytics/,dp-203,https://docs.microsoft.com/en-us/learn/paths/realize-integrated-analytical-solutions-with-azure-synapse-analytics/,Introduction to Azure Synapse Analytics,6,"2,825","16,299",53.00%,"2,164","1,147","1,120",6.0,749.3233333,15.91483186,26,4.759259258999999,54,,,azure;azure-synapse-analytics,data-engineer,beginner,9,2021
