,ModuleUrl,Uid,Url,Certification,LearningPathUrl,Title,Total Units,Visitors,Page Views,Module Completed Rate,Module Started,Module Completed,Badges,Shared Badges,Module Hours Viewed,Module Avg Minutes per UV,Sum of Duration,Average Star rating,Total Rater,Sandbox Activate(Clicks),Sandbox Activate(Users),Products,Roles,Levels,Month,Year
1653,https://docs.microsoft.com/en-us/learn/modules/describe-threat-protection-capabilities-of-microsoft-365/,learn.wwl.describe-threat-protection-capabilities-of-microsoft-365,/learn/modules/describe-threat-protection-capabilities-of-microsoft-365/,ms-900,https://docs.microsoft.com/en-us/learn/paths/m365-security-compliance-capabilities/,Describe the threat protection capabilities of Microsoft 365,7,"6,187","51,568",77.75%,"5,587","2,160","2,304",2,943.1455556,18.32536701,24,4.813333333,150,,,m365;office-365,business-owner;business-user,beginner,11,2021
1654,https://docs.microsoft.com/en-us/learn/modules/describe-security-concepts-methodologies/,learn.wwl.describe-security-concepts-methodologies,/learn/modules/describe-security-concepts-methodologies/,ms-900,https://docs.microsoft.com/en-us/learn/paths/m365-security-compliance-capabilities/,Describe security concepts and methodologies,9,"23,372","209,751",51.86%,"21,330","5,487","5,492",32,4877.874722,25.15448933,26,4.810506567,533,,,azure;m365,business-user;student,beginner,11,2021
1655,https://docs.microsoft.com/en-us/learn/modules/describe-security-concepts-methodologies/,learn.wwl.describe-security-concepts-methodologies,/learn/modules/describe-security-concepts-methodologies/,sc-900,https://docs.microsoft.com/en-us/learn/paths/describe-concepts-of-security-compliance-identity/,Describe security concepts and methodologies,9,"23,372","209,751",51.86%,"21,330","5,487","5,492",32,4877.874722,25.15448933,26,4.810506567,533,,,azure;m365,business-user;student,beginner,11,2021
1656,https://docs.microsoft.com/en-us/learn/modules/describe-information-protection-governance-capabilities-of-microsoft-365/,learn.wwl.describe-information-protection-governance-capabilities-of-microsoft-365,/learn/modules/describe-information-protection-governance-capabilities-of-microsoft-365/,ms-900,https://docs.microsoft.com/en-us/learn/paths/m365-security-compliance-capabilities/,Describe the information protection and governance capabilities of Microsoft 365,6,"5,322","39,789",81.71%,"4,870","1,984","2,114",5,600.0238889,13.54455731,23,4.807407407,135,,,m365;office-365,business-owner;business-user,beginner,11,2021
1657,https://docs.microsoft.com/en-us/learn/modules/describe-identity-access-management-capabilities-of-microsoft-365/,learn.wwl.describe-identity-access-management-capabilities-of-microsoft-365,/learn/modules/describe-identity-access-management-capabilities-of-microsoft-365/,ms-900,https://docs.microsoft.com/en-us/learn/paths/m365-security-compliance-capabilities/,Describe the identity and access management capabilities of Microsoft 365,6,"7,552","50,886",73.67%,"6,438","2,356","2,503",7,1187.370556,18.91721544,29,4.802197802,182,,,azure-active-directory;m365;office-365;windows,business-owner;business-user,beginner,11,2021
1658,https://docs.microsoft.com/en-us/learn/modules/describe-compliance-management-capabilities-microsoft/,learn.wwl.describe-compliance-management-capabilities-microsoft,/learn/modules/describe-compliance-management-capabilities-microsoft/,ms-900,https://docs.microsoft.com/en-us/learn/paths/m365-security-compliance-capabilities/,Describe the compliance management capabilities in Microsoft,9,"9,781","99,260",75.38%,"8,931","3,337","3,467",14,1509.7925,18.60113963,30,4.839805825,206,,,azure;m365,business-user;student,beginner,11,2021
1659,https://docs.microsoft.com/en-us/learn/modules/describe-compliance-management-capabilities-microsoft/,learn.wwl.describe-compliance-management-capabilities-microsoft,/learn/modules/describe-compliance-management-capabilities-microsoft/,sc-900,https://docs.microsoft.com/en-us/learn/paths/describe-capabilities-of-microsoft-compliance-solutions/,Describe the compliance management capabilities in Microsoft,9,"9,781","99,260",75.38%,"8,931","3,337","3,467",14,1509.7925,18.60113963,30,4.839805825,206,,,azure;m365,business-user;student,beginner,11,2021
1660,https://docs.microsoft.com/en-us/learn/modules/describe-cloud-security-capabilities-of-microsoft-365/,learn.wwl.describe-cloud-security-capabilities-of-microsoft-365,/learn/modules/describe-cloud-security-capabilities-of-microsoft-365/,ms-900,https://docs.microsoft.com/en-us/learn/paths/m365-security-compliance-capabilities/,Describe the cloud security capabilities of Microsoft 365,5,"5,658","36,149",82.84%,"5,022","2,071","2,215",3,380.0644444,8.069308799,11,4.867647059,136,,,m365;office-365,business-owner;business-user,beginner,11,2021
1661,https://docs.microsoft.com/en-us/learn/modules/what-is-m365/,learn-m365.what-is-m365,/learn/modules/what-is-m365/,ms-900,https://docs.microsoft.com/en-us/learn/paths/m365-security-compliance-capabilities/,What is Microsoft 365?,7,"37,735","282,379",43.56%,"32,156","6,974","6,315",61,4405.258333,14.0399182,17,4.756028369,705,,,m365,administrator,beginner,11,2021
1662,https://docs.microsoft.com/en-us/learn/modules/what-is-m365/,learn-m365.what-is-m365,/learn/modules/what-is-m365/,ms-900,https://docs.microsoft.com/en-us/learn/paths/m365-productivity-teamwork-solutions/,What is Microsoft 365?,7,"37,735","282,379",43.56%,"32,156","6,974","6,315",61,4405.258333,14.0399182,17,4.756028369,705,,,m365,administrator,beginner,11,2021
1663,https://docs.microsoft.com/en-us/learn/modules/what-is-m365/,learn-m365.what-is-m365,/learn/modules/what-is-m365/,ms-900,https://docs.microsoft.com/en-us/learn/paths/m365-licensing-service-support/,What is Microsoft 365?,7,"37,735","282,379",43.56%,"32,156","6,974","6,315",61,4405.258333,14.0399182,17,4.756028369,705,,,m365,administrator,beginner,11,2021
1664,https://docs.microsoft.com/en-us/learn/modules/what-is-m365/,learn-m365.what-is-m365,/learn/modules/what-is-m365/,ms-900,https://docs.microsoft.com/en-us/learn/paths/m365-business-management-solutions/,What is Microsoft 365?,7,"37,735","282,379",43.56%,"32,156","6,974","6,315",61,4405.258333,14.0399182,17,4.756028369,705,,,m365,administrator,beginner,11,2021
1665,https://docs.microsoft.com/en-us/learn/modules/engage-employees-with-microsoft-stream-teams-yammer/,learn.wwl.engage-employees-with-microsoft-stream-teams-yammer,/learn/modules/engage-employees-with-microsoft-stream-teams-yammer/,ms-900,https://docs.microsoft.com/en-us/learn/paths/m365-productivity-teamwork-solutions/,"Engage employees with Microsoft Stream, Teams, and Yammer",9,"10,963","100,632",68.30%,"9,573","3,254","3,318",15,1972.083333,21.66727706,40,4.794759825,229,,,m365;office-365,business-owner;business-user,beginner,11,2021
1666,https://docs.microsoft.com/en-us/learn/modules/microsoft-365-productivity-teamwork-solutions/,learn.wwl.microsoft-365-productivity-teamwork-solutions,/learn/modules/microsoft-365-productivity-teamwork-solutions/,ms-900,https://docs.microsoft.com/en-us/learn/paths/m365-productivity-teamwork-solutions/,Microsoft 365 productivity and teamwork solutions,11,"12,969","134,645",68.26%,"11,127","3,773","3,846",16,1910.71,17.73280742,25,4.795731707,328,,,m365;office-365,business-owner;business-user,beginner,11,2021
