36,learn.architect-migration-bcdr,https://docs.microsoft.com/en-us/learn/paths/architect-migration-bcdr/,10,az-303,"Architect migration, business continuity, and disaster recovery in Azure",10.0,13281.0,109071.0,13.66%,1376.0,188.0,191.0,1727,22.98547925608011,7904,440.0,learn.architect-migration-bcdr,solution-architect,azure;azure-virtual-machines;azure-backup;azure-site-recovery;azure-app-service;azure-sql-database,intermediate,1,2022
37,learn.architect-migration-bcdr,https://docs.microsoft.com/en-us/learn/paths/architect-migration-bcdr/,10,az-304,"Architect migration, business continuity, and disaster recovery in Azure",10.0,13281.0,109071.0,13.66%,1376.0,188.0,191.0,1727,22.98547925608011,7904,440.0,learn.architect-migration-bcdr,solution-architect,azure;azure-virtual-machines;azure-backup;azure-site-recovery;azure-app-service;azure-sql-database,intermediate,1,2022
38,learn.architect-infrastructure-operations,https://docs.microsoft.com/en-us/learn/paths/architect-infrastructure-operations/,5,az-103,Architect infrastructure operations in Azure,5.0,31648.0,356603.0,24.95%,1539.0,384.0,392.0,1727,35.58327487782272,9454,240.0,learn.architect-infrastructure-operations,solution-architect,azure;azure-monitor;azure-cost-management;azure-resource-manager;azure-policy,intermediate,1,2022
39,learn.architect-infrastructure-operations,https://docs.microsoft.com/en-us/learn/paths/architect-infrastructure-operations/,5,az-300,Architect infrastructure operations in Azure,5.0,31648.0,356603.0,24.95%,1539.0,384.0,392.0,1727,35.58327487782272,9454,240.0,learn.architect-infrastructure-operations,solution-architect,azure;azure-monitor;azure-cost-management;azure-resource-manager;azure-policy,intermediate,1,2022
40,learn.architect-infrastructure-operations,https://docs.microsoft.com/en-us/learn/paths/architect-infrastructure-operations/,5,az-301,Architect infrastructure operations in Azure,5.0,31648.0,356603.0,24.95%,1539.0,384.0,392.0,1727,35.58327487782272,9454,240.0,learn.architect-infrastructure-operations,solution-architect,azure;azure-monitor;azure-cost-management;azure-resource-manager;azure-policy,intermediate,1,2022
41,learn.architect-infrastructure-operations,https://docs.microsoft.com/en-us/learn/paths/architect-infrastructure-operations/,5,az-303,Architect infrastructure operations in Azure,5.0,31648.0,356603.0,24.95%,1539.0,384.0,392.0,1727,35.58327487782272,9454,240.0,learn.architect-infrastructure-operations,solution-architect,azure;azure-monitor;azure-cost-management;azure-resource-manager;azure-policy,intermediate,1,2022
42,learn.architect-infrastructure-operations,https://docs.microsoft.com/en-us/learn/paths/architect-infrastructure-operations/,5,az-304,Architect infrastructure operations in Azure,5.0,31648.0,356603.0,24.95%,1539.0,384.0,392.0,1727,35.58327487782272,9454,240.0,learn.architect-infrastructure-operations,solution-architect,azure;azure-monitor;azure-cost-management;azure-resource-manager;azure-policy,intermediate,1,2022
43,learn.architect-compute-infrastructure,https://docs.microsoft.com/en-us/learn/paths/architect-compute-infrastructure/,9,az-103,Architect compute infrastructure in Azure,9.0,74594.0,720801.0,8.18%,2458.0,201.0,176.0,1727,36.174975869372865,10231,434.0,learn.architect-compute-infrastructure,solution-architect,azure;azure-virtual-machines,intermediate,1,2022
44,learn.architect-compute-infrastructure,https://docs.microsoft.com/en-us/learn/paths/architect-compute-infrastructure/,9,az-300,Architect compute infrastructure in Azure,9.0,74594.0,720801.0,8.18%,2458.0,201.0,176.0,1727,36.174975869372865,10231,434.0,learn.architect-compute-infrastructure,solution-architect,azure;azure-virtual-machines,intermediate,1,2022
45,learn.architect-compute-infrastructure,https://docs.microsoft.com/en-us/learn/paths/architect-compute-infrastructure/,9,az-301,Architect compute infrastructure in Azure,9.0,74594.0,720801.0,8.18%,2458.0,201.0,176.0,1727,36.174975869372865,10231,434.0,learn.architect-compute-infrastructure,solution-architect,azure;azure-virtual-machines,intermediate,1,2022
