,LearningPathUid_x,LearningPathUrl,TotalModules,Certification,Title,Total modules,Visitors,Page Views,LPCompletedRate,LPStarted,Sum of LPComplete,Trophies,Shared Trophies,Avg Minutes per Visitor,Bookmard Users,Duration(min),LearningPathUid_y,Roles,Products,Levels,Month,Year
93,learn.architect-api-integration,https://docs.microsoft.com/en-us/learn/paths/architect-api-integration/,5,az-301,Architect API integration in Azure,5,"11,613","107,696",21.29%,"1,945",414,438,2180,19.04934843,"6,356",224,learn.architect-api-integration,solution-architect,azure;azure-api-management,intermediate,11,2021
94,learn.architect-api-integration,https://docs.microsoft.com/en-us/learn/paths/architect-api-integration/,5,az-303,Architect API integration in Azure,5,"11,613","107,696",21.29%,"1,945",414,438,2180,19.04934843,"6,356",224,learn.architect-api-integration,solution-architect,azure;azure-api-management,intermediate,11,2021
95,learn.architect-api-integration,https://docs.microsoft.com/en-us/learn/paths/architect-api-integration/,5,az-304,Architect API integration in Azure,5,"11,613","107,696",21.29%,"1,945",414,438,2180,19.04934843,"6,356",224,learn.architect-api-integration,solution-architect,azure;azure-api-management,intermediate,11,2021
96,learn.wwl.design-infranstructure-solutions,https://docs.microsoft.com/en-us/learn/paths/design-infranstructure-solutions/,4,az-305,AZ-305: Design infrastructure solutions,4,"1,183","8,708",6.54%,"1,040",68,72,2180,18.25826994,92,120,learn.wwl.design-infranstructure-solutions,solution-architect,azure,advanced,11,2021
97,learn.wwl.design-identity-governance-monitor-solutions,https://docs.microsoft.com/en-us/learn/paths/design-identity-governance-monitor-solutions/,3,az-305,"AZ-305: Design identity, governance, and monitor solutions",3,"3,212","25,788",6.23%,"3,000",187,203,2180,25.40247509,145,93,learn.wwl.design-identity-governance-monitor-solutions,solution-architect,azure,advanced,11,2021
98,learn.wwl.design-data-storage-solutions,https://docs.microsoft.com/en-us/learn/paths/design-data-storage-solutions/,3,az-305,AZ-305: Design data storage solutions,3,"1,027","8,044",10.51%,894,94,101,2180,22.30540409,94,90,learn.wwl.design-data-storage-solutions,solution-architect,azure,advanced,11,2021
99,learn.wwl.design-business-continuity-solutions,https://docs.microsoft.com/en-us/learn/paths/design-business-continuity-solutions/,2,az-305,AZ-305: Design business continuity solutions,2,997,"5,788",12.36%,914,113,126,2180,17.06116683,83,57,learn.wwl.design-business-continuity-solutions,solution-architect,azure,advanced,11,2021
100,learn.azure-well-architected-framework,https://docs.microsoft.com/en-us/learn/paths/azure-well-architected-framework/,6,az-305,Build great solutions with the Microsoft Azure Well-Architected Framework,6,"13,230","84,597",5.21%,"4,030",210,234,2180,22.96619048,"4,618",338,learn.azure-well-architected-framework,solution-architect,azure;azure-storage;azure-sql-database;azure-cosmos-db;azure-cost-management;azure-advisor;azure-monitor;azure-cdn;azure-active-directory;azure-virtual-machines;azure-app-service;azure-resource-manager;azure-site-recovery;azure-backup;azure-expressroute,beginner,11,2021
101,learn.accelerate-cloud-adoption,https://docs.microsoft.com/en-us/learn/paths/cloud-adoption-framework/,8,az-305,Accelerate cloud adoption with the Microsoft Cloud Adoption Framework for Azure,8,"1,821","11,329",4.29%,"1,118",48,55,2180,16.01941241,414,582,learn.accelerate-cloud-adoption,administrator;developer;solution-architect;auditor;business-analyst;business-owner;data-engineer;database-administrator;developer;devops-engineer;functional-consultant;privacy-manager;risk-practitioner;security-engineer;solution-architect;student;technology-manager,azure,beginner,11,2021
102,learn.az-400-manage-source-control,https://docs.microsoft.com/en-us/learn/paths/az-400-manage-source-control/,15,az-400,AZ-400: Manage source control,15,"10,371","128,683",13.16%,"2,606",343,351,2180,20.88109793,"2,549",829,learn.az-400-manage-source-control,devops-engineer;administrator;developer;solution-architect,azure;github,beginner,11,2021
103,learn.az-400-facilitate-communication-collaboration,https://docs.microsoft.com/en-us/learn/paths/az-400-facilitate-communication-collaboration/,6,az-400,AZ-400: Facilitate communication and collaboration,6,"28,607","233,322",12.18%,"1,773",216,235,2180,24.50706878,"1,985",147,learn.az-400-facilitate-communication-collaboration,devops-engineer;administrator;developer;solution-architect,azure;azure-devops,beginner,11,2021
104,learn.az-400-develop-sre-strategy,https://docs.microsoft.com/en-us/learn/paths/az-400-develop-sre-strategy/,8,az-400,AZ-400: Develop a Site Reliability Engineering (SRE) strategy,8,"13,936","117,042",4.66%,"2,809",131,146,2180,22.44908152,"1,877",466,learn.az-400-develop-sre-strategy,devops-engineer;administrator;developer;solution-architect,azure;azure-monitor;azure-load-balancer;azure-virtual-machines,beginner,11,2021
105,learn.az-400-develop-security-compliance-plan,https://docs.microsoft.com/en-us/learn/paths/az-400-develop-security-compliance-plan/,11,az-400,AZ-400: Develop a security and compliance plan,11,"53,453","695,118",11.23%,"1,995",224,225,2180,37.47946888,"2,736",428,learn.az-400-develop-security-compliance-plan,devops-engineer;administrator;developer;solution-architect;security-engineer,azure;azure-active-directory;azure-key-vault;azure-api-management;azure-monitor,beginner,11,2021
106,learn.az-400-develop-instrumentation-strategy,https://docs.microsoft.com/en-us/learn/paths/az-400-develop-instrumentation-strategy/,11,az-400,AZ-400: Develop an instrumentation strategy,11,"27,244","253,382",5.74%,"6,285",361,411,2180,23.28548182,"3,106",497,learn.az-400-develop-instrumentation-strategy,devops-engineer;administrator;developer;solution-architect,azure;azure-portal;azure-resource-manager;azure-application-insights;azure-monitor;azure-event-grid;azure-sentinel;azure-security-center;azure-service-health;vs-app-center;azure-virtual-machines;azure-app-service;azure-container-instances;azure-functions;azure-kubernetes-service;azure-logic-apps,beginner,11,2021
107,learn.az-400-define-implement-continuous-integration,https://docs.microsoft.com/en-us/learn/paths/az-400-define-implement-continuous-integration/,11,az-400,AZ-400: Define and implement continuous integration,11,"24,438","236,608",4.55%,"2,614",119,127,2180,26.65399105,"2,310",686,learn.az-400-define-implement-continuous-integration,devops-engineer;administrator;developer;solution-architect,azure;azure-devops;azure-virtual-machines;azure-automation,beginner,11,2021
108,learn.wwl.secure-your-data-applications,https://docs.microsoft.com/en-us/learn/paths/secure-your-data-applications/,4,az-500,AZ-500 part 3: Secure your data and applications,4,"2,337","31,057",12.68%,"2,090",265,294,2180,38.883911,366,335,learn.wwl.secure-your-data-applications,administrator;security-engineer,azure;azure-active-directory;azure-key-vault;azure-sql-database;azure-sql-managed-instance,intermediate,11,2021
109,learn.wwl.manage-security-operation,https://docs.microsoft.com/en-us/learn/paths/manage-security-operation/,3,az-500,AZ-500 part 4: Manage security operation,3,"2,472","21,279",11.84%,"2,129",252,285,2180,22.4596548,394,189,learn.wwl.manage-security-operation,administrator;security-engineer,azure;azure-monitor;azure-security-center;azure-sentinel,intermediate,11,2021
